date,ICLN,PBW,QCLN
2009-05-01,-0.002285,0.010022,0.003162
2009-05-04,0.084762,0.07828,0.078014
2009-05-05,0.000439,-0.007157,-0.001462
2009-05-06,0.039491,0.010299,0.012445
2009-05-07,-0.028662,-0.034659,-0.048445
2009-05-08,0.022989,0.022175,0.00152
2009-05-11,-0.015718,-0.008264,0.0
2009-05-12,-0.01079,-0.01875,-0.020713
2009-05-13,-0.078534,-0.077495,-0.067948
2009-05-14,0.028883,0.03107,0.01995
2009-05-15,-0.008748,-0.023438,-0.00652
2009-05-18,0.019039,0.04,0.041838
2009-05-19,0.054214,0.023077,0.037008
2009-05-20,0.017723,0.029001,0.017464
2009-05-21,-0.018263,-0.018789,-0.03806
2009-05-22,-0.00692,-0.02234,-0.010861
2009-05-26,0.012631,0.040261,0.037647
2009-05-27,0.014194,0.01569,0.02034
2009-05-28,-0.001272,0.009145,0.007475
2009-05-29,0.005096,0.018492,0.025
2009-06-01,0.040558,0.062124,0.049498
2009-06-02,-0.000812,-0.000943,-0.006945
2009-06-03,-0.030069,-0.029273,-0.034994
2009-06-04,0.027231,0.044747,0.042796
2009-06-05,-0.00367,0.01676,-0.003413
2009-06-08,-0.020057,-0.015568,-0.004125
2009-06-09,0.022974,0.026977,0.031702
2009-06-10,0.019559,0.019022,0.015364
2009-06-11,0.01646,0.0,-0.001342
2009-06-12,-0.024429,-0.011556,-0.017102
2009-06-15,-0.032431,-0.05036,-0.032172
2009-06-16,-0.003423,-0.014205,-0.022161
2009-06-17,-0.042513,-0.025937,-0.013456
2009-06-18,-0.002625,0.006903,-0.000718
2009-06-19,0.025439,0.013712,0.013764
2009-06-22,-0.058088,-0.06087,-0.05397
2009-06-23,0.012333,0.002058,-0.003026
2009-06-24,0.018945,0.028748,0.023975
2009-06-25,0.027888,0.017964,0.011248
2009-06-26,-0.0323,0.004902,0.010013
2009-06-29,0.011571,-0.011707,-0.004037
2009-06-30,0.00308,-0.004936,-0.001724
2009-07-01,0.012369,0.005952,0.011568
2009-07-02,-0.020016,-0.003945,-0.019714
2009-07-06,-0.042042,-0.047525,-0.043034
2009-07-07,-0.03595,-0.040541,-0.032238
2009-07-08,-0.01484,-0.028169,-0.015736
2009-07-09,0.015063,-0.003345,0.01199
2009-07-10,-0.019148,-0.002237,-0.00624
2009-07-13,0.025378,0.025785,0.028456
2009-07-14,-0.013327,-0.002186,7.7e-05
2009-07-15,0.049687,0.051479,0.050927
2009-07-16,0.015625,0.030208,0.016545
2009-07-17,-0.011312,-0.021234,-0.003183
2009-07-20,0.011533,0.019628,0.012388
2009-07-21,0.027961,0.009119,0.015046
2009-07-22,-0.007482,0.002008,0.012598
2009-07-23,0.030155,0.034068,0.024953
2009-07-24,0.044856,0.031008,0.022672
2009-07-27,0.001978,0.007519,-0.001697
2009-07-28,-0.025247,-0.011194,-0.002299
2009-07-29,-0.030625,-0.018868,-0.019706
2009-07-30,0.025022,0.027885,0.018739
2009-07-31,-0.008703,-0.015903,-0.013378
2009-08-03,0.023983,0.028517,0.027797
2009-08-04,0.0,0.001848,-0.002639
2009-08-05,-0.008783,-0.009225,-0.006614
2009-08-06,-0.014768,-0.026071,-0.011325
2009-08-07,-0.003041,0.01912,0.006734
2009-08-10,-0.001074,0.006567,0.002676
2009-08-11,-0.006231,-0.035415,-0.018673
2009-08-12,-0.004721,0.001932,0.010877
2009-08-13,-0.009565,-0.004822,-0.005952
2009-08-14,-0.009219,-0.011628,-0.012279
2009-08-17,-0.042091,-0.05,-0.042466
2009-08-18,0.000462,0.01032,0.013591
2009-08-19,0.000467,0.016343,0.002258
