,De-risk Med (%),De-risk High (%),Avg Return Improve,Avg VaR Reduction,Avg CVaR Reduction,Avg MDD Reduction,Avg Sharpe Improve,Avg Vol Reduction,Years Used,run_id
784,50,50,-25.17120693276266,36.71136116973537,22.335835757333893,24.63191975525394,-106.98886617310929,28.539771457547992,7,784
785,50,50,66.94754413958911,42.16035697681842,33.39329070002129,38.30249081247871,121.25377034555889,32.93288753931521,7,785
786,50,50,74.2566901010789,35.96318260431434,28.264367005386244,34.10645233845685,174.45953617097393,26.46059505418302,7,786
787,50,50,47.05643721604627,41.424083538634804,31.77677488518376,32.304142625306596,33.00915544120374,30.05365409259162,7,787
788,50,50,105.67123376904273,38.32441050269932,32.84254877430494,36.75492518622934,253.26213039724345,31.01379940055457,7,788
789,50,50,42.255459681980206,34.63425065450505,22.67341885914373,25.93058193372525,100.69759658151703,27.959925863490895,7,789
790,50,50,-13.781942504183144,40.73838751623613,32.16027493872232,30.991193658077766,-115.51800071113838,32.623402622020436,7,790
791,50,50,-8.324655988193443,40.26209195002112,28.07272662318971,31.064908632980934,-89.78939027054567,29.4457215825662,7,791
792,50,50,15.25023891365694,43.01282204983436,28.16938705446961,31.743434510705743,-67.9069953302632,32.51887634045606,7,792
793,50,50,71.8956885159176,45.11355099367841,31.85233593629705,35.65299664267902,132.9281585681222,31.543785384045893,7,793
794,50,50,60.17545511579671,41.30980731280687,28.531435818885647,30.438296332718895,126.44225279444204,29.2969246552323,7,794
795,50,50,3.4371297548549813,36.63725301209116,29.237376720373305,33.96449510412777,-19.635906716137466,30.02933566552017,7,795
796,50,50,-10.927735406561329,29.551934889197508,15.361012115144273,23.789205953007492,-29.2294110437851,27.147194496581328,7,796
797,50,50,10.219524677242587,39.34893370889154,31.736101515682726,33.459875929423674,-21.624281571295885,33.69295185608751,7,797
798,50,50,-24.452347860733003,38.9439521584553,28.214410329720895,25.849775380901544,-141.7701258724682,30.3641093595314,7,798
799,50,50,51.702091477053735,34.71227984892301,27.11568788493913,30.677107836736855,64.27302255875593,28.07072748892902,7,799
800,50,50,-3.747921987036933,36.48915755104792,27.014108111230733,26.393059428509897,-24.396049107534616,30.067172888603853,7,800
801,50,50,5.5075498521199915,33.112869522672476,31.200396659594876,25.56951479160324,13.30038810929029,34.19541530320604,7,801
802,50,50,-25.96949490170262,32.86419667089014,24.47011479804771,26.30771250197331,-54.98159260044334,29.310105318687324,7,802
803,50,50,25.186738554241867,41.01690192772368,34.57408734950772,35.57314419252417,19.223012271709475,33.88013322625686,7,803
804,50,50,10.584371269059744,44.24282991449859,34.253582001430196,38.11623715470445,-97.07224737262557,30.463793451218603,7,804
805,50,50,9.8591794917059,41.389904590971426,29.665317390140498,31.550648600984584,-44.38375505626935,31.89682939745066,7,805
806,50,50,105.83743430258474,44.164288565361744,36.971876195692865,36.13351738373154,264.5951989074578,34.04664864312034,7,806
807,50,50,-2.0800697195482223,34.556262912528744,22.56681940269139,26.73911511016423,-9.381259234538556,27.970549566372558,7,807
808,50,50,42.719593513806764,38.86559379175028,30.41377507534883,21.90128405268033,75.49179310510338,31.374052860585397,7,808
809,50,50,25.41091638368064,44.85952999477919,28.58012303143994,37.66735992612763,14.551248568304155,30.96668123027685,7,809
810,50,50,-20.38504509579787,33.46025175768428,23.370283750663397,23.946489700374958,-78.72261276658352,30.36642675692496,7,810
