date,SHY
2008-05-08,0.000842
2008-05-09,0.00036
2008-05-12,-0.00192
2008-05-13,-0.001686
2008-05-14,-0.000723
2008-05-15,0.000844
2008-05-16,0.000241
2008-05-19,0.001084
2008-05-20,0.001444
2008-05-21,-0.001082
2008-05-22,-0.002767
2008-05-23,0.00193
2008-05-27,-0.001084
2008-05-28,-0.001809
2008-05-29,-0.000361
2008-05-30,0.001449
2008-06-02,0.001963
2008-06-03,0.001448
2008-06-04,-0.000362
2008-06-05,-0.001326
2008-06-06,0.001328
2008-06-09,-0.005064
2008-06-10,-0.002302
2008-06-11,0.0017
2008-06-12,-0.00485
2008-06-13,0.001109
2008-06-16,0.000596
2008-06-17,0.001946
2008-06-18,0.000971
2008-06-19,-0.001916
2008-06-20,0.001799
2008-06-23,-0.001093
2008-06-24,0.001823
2008-06-25,0.000727
2008-06-26,0.002907
2008-06-27,0.000483
2008-06-30,0.000604
2008-07-01,-0.000257
2008-07-02,0.000121
2008-07-03,0.001694
2008-07-07,0.000592
2008-07-08,0.000133
2008-07-09,0.00169
2008-07-10,-0.001205
2008-07-11,-0.002051
2008-07-14,0.002297
2008-07-15,0.001447
2008-07-16,-0.000963
2008-07-17,-0.001447
2008-07-18,-0.001811
2008-07-21,0.000484
2008-07-22,-0.000846
2008-07-23,-0.000485
2008-07-24,0.002785
2008-07-25,-0.001328
2008-07-28,0.002055
2008-07-29,-0.000844
2008-07-30,0.000266
2008-07-31,0.002027
2008-08-01,0.000187
2008-08-04,-0.000121
2008-08-05,-0.000483
2008-08-06,0.000121
2008-08-07,0.002175
2008-08-08,-0.000868
2008-08-11,-0.001304
2008-08-12,0.001813
2008-08-13,-0.000121
2008-08-14,0.000362
2008-08-15,0.000724
2008-08-18,0.000844
2008-08-19,0.000723
2008-08-20,0.001324
2008-08-21,-0.000841
2008-08-22,-0.001803
2008-08-25,0.001686
2008-08-26,-0.000361
2008-08-27,0.000602
2008-08-28,-0.000481
2008-08-29,0.000481
2008-09-02,0.001265
2008-09-03,0.000361
2008-09-04,0.000602
2008-09-05,-0.000361
2008-09-08,-0.000482
2008-09-09,0.001566
2008-09-10,0.00024
2008-09-11,-0.000361
2008-09-12,9.6e-05
2008-09-15,0.007119
2008-09-16,-0.001791
2008-09-17,0.004785
2008-09-18,-0.003214
2008-09-19,-0.005613
2008-09-22,0.000721
2008-09-23,0.00072
2008-09-24,0.002159
2008-09-25,-0.001795
2008-09-26,0.0
2008-09-29,0.005755
2008-09-30,-0.003934
2008-10-01,0.003112
2008-10-02,0.002155
2008-10-03,0.002747
2008-10-06,0.002025
2008-10-07,0.000202
2008-10-08,-0.004291
2008-10-09,0.000645
2008-10-10,0.001551
2008-10-13,-0.004407
2008-10-14,0.000239
2008-10-15,0.003301
2008-10-16,-0.000548
2008-10-17,0.000716
2008-10-20,-0.000716
2008-10-21,0.002029
2008-10-22,0.001428
2008-10-23,-0.000597
2008-10-24,0.000835
2008-10-27,-0.002496
2008-10-28,0.001185
2008-10-29,0.000601
2008-10-30,0.000833
2008-10-31,0.000475
2008-11-03,0.001827
2008-11-04,-0.000319
2008-11-05,0.001786
2008-11-06,0.000356
2008-11-07,-0.001782
2008-11-10,0.003094
2008-11-11,0.000712
2008-11-12,0.001522
2008-11-13,-0.002467
2008-11-14,-0.000237
2008-11-17,0.00178
2008-11-18,0.001066
2008-11-19,0.00142
2008-11-20,0.001891
2008-11-21,-0.001652
2008-11-24,-0.002481
2008-11-25,0.000829
2008-11-26,0.003077
2008-11-28,0.00059
2008-12-01,0.001641
2008-12-02,-0.000123
2008-12-03,0.000832
2008-12-04,0.000236
2008-12-05,-0.00118
2008-12-08,-0.001418
2008-12-09,0.003076
2008-12-10,-0.001297
2008-12-11,0.002362
2008-12-12,0.0005
2008-12-15,0.000678
2008-12-16,0.000471
2008-12-17,-0.002117
2008-12-18,0.000472
2008-12-19,-0.000943
2008-12-22,-0.001887
2008-12-23,0.000236
2008-12-24,0.000236
2008-12-26,0.001181
2008-12-29,0.002197
2008-12-30,0.000945
2008-12-31,-0.000496
2009-01-02,-0.005292
2009-01-05,0.002019
2009-01-06,0.000475
2009-01-07,-0.000712
2009-01-08,0.000237
2009-01-09,0.000711
2009-01-12,0.000237
2009-01-13,0.000118
2009-01-14,0.001184
2009-01-15,-0.001064
2009-01-16,0.000473
2009-01-20,0.000473
2009-01-21,-0.001537
2009-01-22,0.000474
2009-01-23,-0.000237
2009-01-26,-0.001303
2009-01-27,0.001067
2009-01-28,-0.000355
2009-01-29,-0.001896
2009-01-30,0.000594
2009-02-02,0.000919
2009-02-03,-0.001069
2009-02-04,-0.001664
2009-02-05,0.000238
2009-02-06,-0.000595
2009-02-09,-0.000357
2009-02-10,0.002263
2009-02-11,-0.000238
2009-02-12,0.001189
2009-02-13,-0.0019
2009-02-17,0.002617
2009-02-18,-0.001661
2009-02-19,-0.000357
2009-02-20,0.000832
2009-02-23,-0.000119
2009-02-24,-0.000713
2009-02-25,-0.001902
2009-02-26,0.000477
2009-02-27,0.000595
2009-03-02,0.002253
2009-03-03,-0.000832
2009-03-04,-0.001071
2009-03-05,0.001191
2009-03-06,-0.000733
2009-03-09,-0.000934
2009-03-10,-0.000596
2009-03-11,0.000477
2009-03-12,0.000358
2009-03-13,0.000834
2009-03-16,-0.00131
2009-03-17,-0.000239
2009-03-18,0.003816
2009-03-19,-0.001188
2009-03-20,0.001189
2009-03-23,-0.000832
2009-03-24,-0.001308
2009-03-25,-0.000238
2009-03-26,0.00131
2009-03-27,0.000476
2009-03-30,0.000951
2009-03-31,0.001425
2009-04-01,-0.000223
2009-04-02,-0.001664
2009-04-03,-0.002261
2009-04-06,0.000716
2009-04-07,0.000358
2009-04-08,0.0
2009-04-09,-0.001192
2009-04-13,0.001909
2009-04-14,0.000834
2009-04-15,0.000476
2009-04-16,-0.001427
2009-04-17,-0.001072
2009-04-20,0.000954
2009-04-21,0.000119
2009-04-22,0.0
2009-04-23,-0.000715
2009-04-24,0.0
