date,ICLN,PBW,QCLN,SPY,XLE
2009-03-04,0.055273,0.02946,0.053991,0.023691,0.047768
2009-03-05,-0.086253,-0.046105,-0.046771,-0.040848,-0.044096
2009-03-06,-0.001588,-0.01,-0.007009,0.001744,0.010946
2009-03-09,-0.019067,-0.011785,-0.028235,-0.011753,0.001805
2009-03-10,0.078432,0.080068,0.098305,0.059609,0.050695
2009-03-11,0.016576,0.018927,0.016094,0.006512,-0.004164
2009-03-12,0.023391,0.05418,0.036017,0.039372,0.030005
2009-03-13,0.022074,0.014684,0.019759,0.007815,-0.009074
2009-03-16,0.001309,-0.020261,-0.030415,-0.003023,0.012771
2009-03-17,-0.038562,0.008863,0.000794,0.030583,0.034499
2009-03-18,0.021081,0.029283,0.040212,0.022384,0.01012
2009-03-19,0.06191,0.00569,0.015259,-0.012386,0.024135
2009-03-20,-0.03511,-0.033946,-0.044088,-0.021137,-0.038911
2009-03-23,0.074724,0.071742,0.089099,0.071829,0.082326
2009-03-24,-0.01633,-0.015027,-0.021559,-0.019703,-0.018909
2009-03-25,0.007074,0.026352,0.003344,0.010546,-0.004818
2009-03-26,0.14495,0.109459,0.106863,0.020381,0.008583
2009-03-27,-0.01919,-0.01218,-0.011515,-0.018048,-0.029675
2009-03-30,-0.063859,-0.064118,-0.060036,-0.034555,-0.037014
2009-03-31,0.015965,0.001317,0.012383,0.009265,-0.0085
2009-04-01,0.022057,0.043421,0.027317,0.019366,0.021197
2009-04-02,0.047244,0.032787,0.046599,0.029238,0.041052
2009-04-03,0.002611,0.026801,0.006271,0.009948,0.019495
2009-04-06,-0.006384,-0.013021,-0.007833,-0.007833,-0.020209
2009-04-07,-0.039443,-0.056627,-0.047368,-0.023325,-0.02994
2009-04-08,0.025441,0.030651,0.025783,0.010778,0.012803
2009-04-09,0.055452,0.05948,0.056562,0.039743,0.029345
2009-04-13,0.027362,0.011696,-0.005106,0.000233,-0.010965
2009-04-14,-0.003412,-0.013873,-0.005201,-0.017243,-0.002661
2009-04-15,0.004431,-0.005862,-0.000781,0.01067,0.001334
2009-04-16,0.010526,0.037736,0.024055,0.014663,0.004663
