date,XLE,SPY
2009-11-19,-0.022416,-0.013031
2009-11-20,-0.009277,-0.003551
2009-11-23,0.012898,0.012702
2009-11-24,0.005756,0.001534
2009-11-25,0.007804,0.003514
2009-11-27,-0.018758,-0.016251
2009-11-30,-0.003508,0.003377
2009-12-01,0.0132,0.01237
2009-12-02,-0.005906,-0.000449
2009-12-03,-0.016076,-0.00782
2009-12-04,-0.007281,0.005708
2009-12-07,-0.002326,-0.001531
2009-12-08,-0.017034,-0.011097
2009-12-09,0.0,0.00375
2009-12-10,0.012404,0.005626
2009-12-11,0.000541,0.004248
2009-12-14,0.010265,0.00684
2009-12-15,0.003209,-0.004648
2009-12-16,0.006397,0.001527
2009-12-17,-0.008475,-0.012016
2009-12-18,0.005243,0.005629
2009-12-21,0.011932,0.010162
2009-12-22,0.004752,0.003593
2009-12-23,0.007882,0.001969
2009-12-24,0.004692,0.004734
2009-12-28,0.00173,0.002134
2009-12-29,-0.006562,-0.001402
2009-12-30,-0.001043,-0.000373
2009-12-31,-0.008004,-0.009598
2010-01-04,0.031574,0.01696
2010-01-05,0.008162,0.002647
2010-01-06,0.011975,0.000704
2010-01-07,-0.0015,0.004221
2010-01-08,0.00651,0.003328
2010-01-11,-0.001327,0.001397
2010-01-12,-0.014447,-0.009326
2010-01-13,0.003707,0.008446
2010-01-14,0.002854,0.002705
2010-01-15,-0.008035,-0.011224
2010-01-19,0.009112,0.012496
2010-01-20,-0.015552,-0.010169
2010-01-21,-0.020384,-0.019229
2010-01-22,-0.023756,-0.022292
2010-01-25,0.006572,0.005128
2010-01-26,-0.006353,-0.004191
2010-01-27,-0.003907,0.004757
2010-01-28,-0.010519,-0.011472
2010-01-29,-0.018018,-0.010869
2010-02-01,0.033028,0.015551
2010-02-02,0.013144,0.012103
2010-02-03,-0.00859,-0.004983
2010-02-04,-0.041026,-0.030866
2010-02-05,0.000184,0.002067
2010-02-08,-0.009218,-0.007219
2010-02-09,0.021027,0.01256
2010-02-10,-0.004192,-0.001959
2010-02-11,0.017021,0.010466
2010-02-12,0.00036,-0.000832
2010-02-16,0.023565,0.015735
2010-02-17,-0.001406,0.004739
2010-02-18,0.005632,0.005895
2010-02-19,0.00385,0.002074
2010-02-22,-0.013773,0.00018
2010-02-23,-0.016617,-0.012145
2010-02-24,0.006292,0.009198
2010-02-25,0.000536,-0.001354
2010-02-26,0.002321,0.000633
2010-03-01,0.009263,0.010385
2010-03-02,0.008295,0.002771
2010-03-03,0.004376,0.000891
2010-03-04,-0.005228,0.003036
2010-03-05,0.018746,0.014284
2010-03-08,-0.001548,0.000175
2010-03-09,0.0,0.001663
2010-03-10,0.008784,0.004456
2010-03-11,-0.001707,0.004175
2010-03-12,0.000513,8.7e-05
2010-03-15,-0.010256,0.00026
2010-03-16,0.008981,0.007966
2010-03-17,0.010955,0.005927
2010-03-18,-0.0149,-0.000534
2010-03-19,-0.011976,-0.005016
2010-03-22,-0.002619,0.005368
2010-03-23,0.003851,0.007012
2010-03-24,-0.005754,-0.004855
2010-03-25,-0.016836,-0.001626
2010-03-26,0.000357,-0.000583
2010-03-29,0.019437,0.00633
2010-03-30,0.001574,0.000682
2010-03-31,0.004541,-0.003407
2010-04-01,0.017733,0.006838
2010-04-05,0.017766,0.008149
2010-04-06,0.0,0.002358
2010-04-07,-0.009903,-0.005712
2010-04-08,0.00356,0.003485
2010-04-09,0.010642,0.006546
2010-04-12,0.00234,0.001589
2010-04-13,-0.003502,0.000752
2010-04-14,0.009538,0.011349
2010-04-15,-0.000166,0.000825
2010-04-16,-0.01691,-0.015912
2010-04-19,0.001349,0.00377
2010-04-20,0.019535,0.008931
2010-04-21,-0.000991,-0.00182
2010-04-22,0.00248,0.002984
2010-04-23,0.024081,0.006549
2010-04-26,-0.003382,-0.003797
2010-04-27,-0.030705,-0.023651
2010-04-28,0.01017,0.007596
2010-04-29,0.001155,0.012377
2010-04-30,-0.012364,-0.016921
2010-05-03,0.01135,0.012941
2010-05-04,-0.026737,-0.023515
2010-05-05,-0.015771,-0.005956
2010-05-06,-0.034202,-0.033196
2010-05-07,-0.018997,-0.014893
2010-05-10,0.042735,0.044041
2010-05-11,-0.006627,-0.002841
2010-05-12,0.013869,0.013986
2010-05-13,-0.006407,-0.012431
2010-05-14,-0.019868,-0.018105
2010-05-17,-0.010313,0.000527
2010-05-18,-0.007725,-0.013602
2010-05-19,-0.011407,-0.005694
2010-05-20,-0.044689,-0.03776
2010-05-21,0.017446,0.014646
2010-05-24,-0.0228,-0.012876
2010-05-25,0.002314,0.001003
2010-05-26,-0.002116,-0.00601
2010-05-27,0.042414,0.033498
2010-05-28,-0.018864,-0.012559
2010-06-01,-0.047502,-0.016815
2010-06-02,0.043341,0.026039
2010-06-03,0.013467,0.003444
2010-06-04,-0.035186,-0.035137
2010-06-07,-0.008729,-0.012451
2010-06-08,0.016634,0.010712
2010-06-09,-0.010395,-0.005346
2010-06-10,0.050185,0.029232
2010-06-11,0.006112,0.004856
2010-06-14,-0.005155,-0.001559
2010-06-15,0.029238,0.022747
2010-06-16,-0.000719,-0.000357
2010-06-17,-0.00108,0.001608
2010-06-18,0.006152,0.001073
2010-06-21,-0.002158,-0.002855
2010-06-22,-0.029195,-0.016516
2010-06-23,-0.007611,-0.003103
2010-06-24,-0.02095,-0.016571
2010-06-25,0.002866,0.004166
2010-06-28,-0.013526,-0.003129
2010-06-29,-0.033024,-0.030875
2010-06-30,-0.007789,-0.0095
2010-07-01,-0.003623,-0.004456
2010-07-02,-0.002424,-0.00545
2010-07-06,0.009721,0.006556
2010-07-07,0.035299,0.031472
2010-07-08,0.014142,0.009919
2010-07-09,0.005158,0.007465
2010-07-12,-0.002661,0.000648
2010-07-13,0.012005,0.015088
2010-07-14,-0.00113,-8.2e-05
2010-07-15,-0.001131,0.000264
2010-07-16,-0.023778,-0.027535
2010-07-19,0.006379,0.005907
2010-07-20,0.022858,0.011092
2010-07-21,-0.016338,-0.012998
2010-07-22,0.022146,0.022331
2010-07-23,0.004483,0.00867
2010-07-26,0.008739,0.010416
2010-07-27,-0.004793,-9e-05
2010-07-28,-0.002223,-0.006455
2010-07-29,0.001485,-0.004872
2010-07-30,-0.002039,-0.000181
2010-08-02,0.034918,0.022581
2010-08-03,-0.000359,-0.004789
2010-08-04,0.00772,0.006683
2010-08-05,0.003207,-0.001062
2010-08-06,-0.011899,-0.004058
2010-08-09,0.004134,0.005338
2010-08-10,-0.008233,-0.005461
2010-08-11,-0.029778,-0.027364
2010-08-12,-0.005952,-0.00613
2010-08-13,-0.001684,-0.002946
2010-08-16,-0.000187,-0.000462
2010-08-17,0.016685,0.012285
2010-08-18,-0.009589,0.001825
2010-08-19,-0.016198,-0.017397
2010-08-20,-0.012301,-0.003244
2010-08-23,0.000383,-0.003779
2010-08-24,-0.015514,-0.014876
2010-08-25,-0.003113,0.003885
2010-08-26,-0.008977,-0.006702
2010-08-27,0.025995,0.01549
2010-08-30,-0.014587,-0.014496
2010-08-31,-0.002727,-9e-06
2010-09-01,0.037305,0.029912
2010-09-02,0.008285,0.009312
2010-09-03,0.012138,0.012972
2010-09-07,-0.014945,-0.011272
2010-09-08,0.008616,0.007023
2010-09-09,0.002043,0.004619
2010-09-10,0.010378,0.005067
2010-09-13,0.00807,0.011105
2010-09-14,-0.003457,-0.000621
2010-09-15,-0.002008,0.003817
2010-09-16,-0.004574,-0.000265
2010-09-17,-0.004977,0.000373
2010-09-20,0.016886,0.01529
2010-09-21,0.00073,-0.002014
2010-09-22,-0.007294,-0.004913
2010-09-23,-0.006245,-0.008129
2010-09-24,0.021627,0.02064
2010-09-27,-0.0038,-0.00479
2010-09-28,0.007083,0.0035
2010-09-29,0.01064,-0.001744
2010-09-30,0.000357,-0.00297
2010-10-01,0.013379,0.004206
2010-10-04,-0.012498,-0.007504
2010-10-05,0.023529,0.020132
2010-10-06,0.008882,-8.6e-05
2010-10-07,-0.005006,-0.001207
2010-10-08,0.012491,0.005587
2010-10-11,0.002742,0.000965
2010-10-12,-0.001538,0.003086
2010-10-13,0.012151,0.007777
2010-10-14,-0.001522,-0.003901
2010-10-15,0.00271,0.002043
2010-10-18,0.002702,0.004928
2010-10-19,-0.019875,-0.013105
2010-10-20,0.012889,0.009766
2010-10-21,-0.000509,0.002206
2010-10-22,0.00662,0.001837
2010-10-25,0.002698,0.002983
2010-10-26,0.002018,0.000169
2010-10-27,-0.004196,-0.002864
2010-10-28,-0.002191,0.000169
2010-10-29,0.000676,0.00076
2010-11-01,0.001182,0.000338
2010-11-02,0.011002,0.007973
2010-11-03,0.002126,0.003976
2010-11-04,0.031786,0.019258
2010-11-05,0.005,0.003803
2010-11-08,0.003049,-0.001915
2010-11-09,-0.00192,-0.007184
2010-11-10,0.012865,0.004029
2010-11-11,0.01104,-0.003808
2010-11-12,-0.014715,-0.011814
2010-11-15,-0.005084,-0.001398
2010-11-16,-0.018684,-0.015579
2010-11-17,0.004068,0.000491
2010-11-18,0.022042,0.014714
2010-11-19,0.008405,0.002772
2010-11-22,-0.003114,-0.000831
2010-11-23,-0.019561,-0.014498
2010-11-24,0.018028,0.014796
2010-11-26,-0.012051,-0.011647
2010-11-29,0.006719,0.003047
2010-11-30,-0.003496,-0.005618
2010-12-01,0.02966,0.021246
2010-12-02,0.014868,0.012809
2010-12-03,0.004425,0.002693
2010-12-06,0.003342,-0.001058
2010-12-07,-0.003786,0.00057
2010-12-08,-0.004712,0.003664
2010-12-09,0.002291,0.003894
2010-12-10,0.004114,0.005818
2010-12-13,0.008498,0.000643
2010-12-14,-0.004664,0.000883
2010-12-15,-0.005442,-0.004588
2010-12-16,0.005624,0.005818
2010-12-17,0.000346,0.001064
2010-12-20,0.006526,0.002413
2010-12-21,0.010103,0.00634
2010-12-22,0.003433,0.00311
2010-12-23,0.002827,-0.001431
2010-12-27,-0.00356,0.000398
2010-12-28,0.003722,0.001433
2010-12-29,0.009938,0.000715
2010-12-30,0.000881,-0.001588
2010-12-31,0.001467,0.000239
2011-01-03,0.007473,0.010338
2011-01-04,-0.008581,-0.000551
2011-01-05,0.003961,0.005198
2011-01-06,-0.009497,-0.001959
2011-01-07,0.007228,-0.001962
2011-01-10,-0.003954,-0.001258
2011-01-11,0.016615,0.003544
2011-01-12,0.01374,0.009025
2011-01-13,-0.002782,-0.001633
2011-01-14,0.010802,0.007245
2011-01-18,0.006228,0.001701
2011-01-19,-0.012097,-0.009805
2011-01-20,-0.007119,-0.001326
2011-01-21,0.005306,0.002264
2011-01-24,0.003709,0.005687
2011-01-25,-0.002878,0.000542
2011-01-26,0.023982,0.003871
2011-01-27,-0.005846,0.002468
2011-01-28,-0.00434,-0.017463
2011-01-31,0.028688,0.007516
2011-02-01,0.016268,0.016009
2011-02-02,-0.000807,-0.00195
2011-02-03,0.000539,0.002261
2011-02-04,-0.002557,0.002829
2011-02-07,0.005801,0.006252
2011-02-08,-0.003386,0.004547
2011-02-09,-0.012617,-0.002271
2011-02-10,0.010222,0.000393
2011-02-11,-0.000135,0.005963
2011-02-14,0.021994,0.002404
2011-02-15,-0.01043,-0.003148
2011-02-16,0.013342,0.006315
2011-02-17,0.009875,0.002988
2011-02-18,0.004172,0.002086
2011-02-22,-0.009738,-0.02007
2011-02-23,0.020323,-0.006144
2011-02-24,-0.014135,-0.000687
2011-02-25,0.015902,0.010693
2011-02-28,0.007698,0.006197
2011-03-01,-0.018717,-0.016673
2011-03-02,0.005709,0.002139
2011-03-03,0.017159,0.017224
2011-03-04,-0.006342,-0.007492
2011-03-07,-0.007021,-0.007851
2011-03-08,-0.008227,0.00875
2011-03-09,-0.006883,-0.001433
2011-03-10,-0.036401,-0.018525
2011-03-11,0.017337,0.006946
2011-03-14,0.005459,-0.006038
2011-03-15,-0.007548,-0.011457
2011-03-16,-0.016011,-0.018552
2011-03-17,0.030509,0.013275
2011-03-18,-0.004672,0.003624
2011-03-21,0.030375,0.015498
2011-03-22,-0.002188,-0.003469
2011-03-23,0.00258,0.002862
2011-03-24,0.003603,0.009563
2011-03-25,0.008976,0.003056
2011-03-28,-0.002415,-0.002437
2011-03-29,0.012229,0.006719
2011-03-30,0.006922,0.006901
2011-03-31,-0.00325,-0.001356
2011-04-01,0.003009,0.004224
2011-04-04,0.000625,0.000826
2011-04-05,0.002998,-0.00015
2011-04-06,-0.010463,0.003152
2011-04-07,0.0,-0.002544
2011-04-08,0.003525,-0.00345
2011-04-11,-0.019725,-0.003011
2011-04-12,-0.030935,-0.007474
2011-04-13,0.004093,-7.6e-05
2011-04-14,0.006838,0.000761
2011-04-15,0.008229,0.003648
2011-04-18,-0.014898,-0.011209
2011-04-19,0.010126,0.005744
2011-04-20,0.023565,0.013632
2011-04-21,0.004579,0.005109
2011-04-25,-0.005191,-0.001046
2011-04-26,0.009927,0.008613
2011-04-27,-0.000504,0.006521
2011-04-28,-0.000126,0.003243
2011-04-29,0.014868,0.002351
2011-05-02,-0.013283,-0.001539
2011-05-03,-0.02506,-0.003597
2011-05-04,-0.017696,-0.006631
2011-05-05,-0.020776,-0.009048
2011-05-06,0.004431,0.004416
2011-05-09,0.017513,0.003875
2011-05-10,0.00473,0.008536
2011-05-11,-0.0289,-0.010525
2011-05-12,-0.001481,0.00476
2011-05-13,-0.004855,-0.007699
2011-05-16,-0.007589,-0.006341
2011-05-17,0.0,-0.00015
2011-05-18,0.02021,0.008936
2011-05-19,0.000134,0.002382
2011-05-20,-0.001205,-0.007945
2011-05-23,-0.015543,-0.011601
2011-05-24,0.014156,-0.000833
2011-05-25,0.01691,0.003335
2011-05-26,0.005015,0.004608
2011-05-27,0.002495,0.003835
2011-05-31,0.010087,0.010411
2011-06-01,-0.023862,-0.022461
2011-06-02,-0.000399,-0.001062
