PERMNO,date,TICKER,COMNAM,CUSIP,PRC,VOL,RET
91827,2023-08-01,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,53.55000,380384,-0.018692
91827,2023-08-02,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,51.09000,167296,-0.045938
91827,2023-08-03,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,51.04000,155946,-0.000979
91827,2023-08-04,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,50.46000,88826,-0.011364
91827,2023-08-07,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,49.90000,129974,-0.011098
91827,2023-08-08,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,49.80000,95256,-0.002004
91827,2023-08-09,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,49.39000,2180149,-0.008233
91827,2023-08-10,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,48.64000,207482,-0.015185
91827,2023-08-11,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,48.05000,96456,-0.012130
91827,2023-08-14,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,48.37000,123196,0.006660
91827,2023-08-15,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,47.00000,86798,-0.028323
91827,2023-08-16,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,46.00000,151923,-0.021277
91827,2023-08-17,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,45.06000,125848,-0.020435
91827,2023-08-18,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,45.04000,244040,-0.000444
91827,2023-08-21,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,45.59000,107084,0.012211
91827,2023-08-22,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,45.21000,112927,-0.008335
91827,2023-08-23,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,46.03000,106831,0.018138
91827,2023-08-24,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,44.66000,335974,-0.029763
91827,2023-08-25,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,45.31000,75420,0.014554
91827,2023-08-28,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,45.67000,92489,0.007945
91827,2023-08-29,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,47.58000,121520,0.041822
91827,2023-08-30,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,47.58000,81208,0.000000
91827,2023-08-31,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,47.54000,136768,-0.000841
91827,2023-09-01,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,47.69000,62171,0.003155
91827,2023-09-05,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,47.59000,95813,-0.002097
91827,2023-09-06,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,46.66000,191664,-0.019542
91827,2023-09-07,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,45.98000,129276,-0.014574
91827,2023-09-08,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,45.66000,156412,-0.006960
91827,2023-09-11,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,46.11000,118609,0.009855
91827,2023-09-12,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,46.27000,131300,0.003470
91827,2023-09-13,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,45.82000,90123,-0.009726
91827,2023-09-14,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,46.76000,119158,0.020515
91827,2023-09-15,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,46.07000,144203,-0.014756
91827,2023-09-18,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,45.12000,113853,-0.020621
91827,2023-09-19,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,45.00000,113520,-0.002660
91827,2023-09-20,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,44.44000,155645,-0.012444
91827,2023-09-21,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,43.12000,175223,-0.029703
91827,2023-09-22,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,42.72000,105469,-0.008671
91827,2023-09-25,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,42.96000,188769,0.005618
91827,2023-09-26,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,42.36000,137280,-0.013966
91827,2023-09-27,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,42.25000,96345,-0.002597
91827,2023-09-28,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,42.49000,80550,0.005681
91827,2023-09-29,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,42.63000,198476,0.003295
91827,2023-10-02,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,41.37000,150288,-0.029557
91827,2023-10-03,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,39.86000,159643,-0.036500
91827,2023-10-04,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,40.70000,130079,0.021074
91827,2023-10-05,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,38.89000,304433,-0.044472
91827,2023-10-06,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,39.80000,206797,0.023399
91827,2023-10-09,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,39.22000,127894,-0.014573
91827,2023-10-10,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,41.10000,425138,0.047935
91827,2023-10-11,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,41.30000,189830,0.004866
91827,2023-10-12,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,40.56000,156056,-0.017918
91827,2023-10-13,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,39.82000,159452,-0.018245
91827,2023-10-16,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,40.59000,241173,0.019337
91827,2023-10-17,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,41.08000,82499,0.012072
91827,2023-10-18,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,39.16000,123096,-0.046738
91827,2023-10-19,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,37.68000,171792,-0.037794
91827,2023-10-20,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,36.19000,177275,-0.039544
91827,2023-10-23,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.97000,219054,-0.006079
91827,2023-10-24,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,36.59000,160851,0.017237
91827,2023-10-25,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.56000,207136,-0.028150
91827,2023-10-26,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.51000,156205,-0.001406
91827,2023-10-27,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,34.60000,146012,-0.025627
91827,2023-10-30,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,33.19000,354429,-0.040751
91827,2023-10-31,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,33.57000,734683,0.011449
91827,2023-11-01,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,33.40000,244070,-0.005064
91827,2023-11-02,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.08000,301884,0.050299
91827,2023-11-03,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.96000,625961,0.025085
91827,2023-11-06,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,34.89000,286406,-0.029755
91827,2023-11-07,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.04000,182742,0.004299
91827,2023-11-08,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,34.24000,466997,-0.022831
91827,2023-11-09,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,32.99000,317363,-0.036507
91827,2023-11-10,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,32.98000,255273,-0.000303
91827,2023-11-13,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,33.21000,179128,0.006974
91827,2023-11-14,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.80000,511030,0.077989
